date,total_like,fitness_like,total_save,fitness_save,fitness_total,total_like_save,fitness_share_likesaves,total_workout_minutes,active_energy_total,resting_energy_total,avg_heart_rate,max_heart_rate,intensity_avg,step_count_total,workout_done
2025-03-04,34.0,0.0,0.0,0.0,0.0,34.0,0.0,67.83333333333333,369.7612927285978,1.2555719770604274,106.8953337994253,149.0,3.282746636315709,904.6188941389648,1.0
2025-03-05,24.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-06,42.0,1.0,0.0,0.0,1.0,42.0,0.023809523809523808,75.01666666666667,509.2399532612477,3.677736,113.6156104347562,151.0,4.743605813237981,1000.1704444128404,1.0
2025-03-07,37.0,0.0,0.0,0.0,0.0,37.0,0.0,64.41666666666667,304.8526375931837,3.677736,98.59968311683151,137.0,2.551261062350183,966.2127688263648,1.0
2025-03-08,62.0,2.0,0.0,0.0,2.0,62.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-09,41.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-10,65.0,0.0,0.0,0.0,0.0,65.0,0.0,114.56666666666666,682.2139800850538,754.1116080000012,125.58054717622653,157.0,5.359630236216409,1599.999999999999,1.0
2025-03-11,30.0,0.0,0.0,0.0,0.0,30.0,0.0,140.91666666666666,695.2057562811883,15.129338956055024,101.78551306244987,146.0,5.115671729764691,4145.25187398654,1.0
2025-03-12,16.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-13,18.0,0.0,0.0,0.0,0.0,18.0,0.0,79.68333333333334,407.5408099753148,17.133591999194685,89.46423159324775,142.0,2.9686533028913895,1442.258233867126,1.0
2025-03-14,39.0,0.0,0.0,0.0,0.0,39.0,0.0,97.26666666666667,700.677999999994,687.2533724770361,124.79239864254379,166.0,7.477592239790955,1268.1959411810926,1.0
2025-03-15,50.0,0.0,0.0,0.0,0.0,50.0,0.0,120.68333333333334,706.1175183937664,725.4805833566928,117.8717276139582,160.0,6.221036959254956,1124.372680323528,1.0
2025-03-16,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-17,21.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-18,22.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-19,103.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-20,38.0,0.0,0.0,0.0,0.0,38.0,0.0,139.5,841.68301546675,4.684844605877397,111.03100002061477,155.0,4.651414903694308,3965.112926409126,1.0
2025-03-21,114.0,0.0,0.0,0.0,0.0,114.0,0.0,44.56666666666667,243.90929314524607,3.3601326912119607,106.07277957942294,141.0,3.2498956327857194,500.8549096968072,1.0
2025-03-22,20.0,0.0,0.0,0.0,0.0,20.0,0.0,124.46666666666667,761.720085386025,249.1120288410781,112.20127682902228,148.0,3.966826855954035,1891.3701933304285,1.0
2025-03-23,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-24,51.0,0.0,0.0,0.0,0.0,51.0,0.0,95.93333333333334,661.5836477090171,0.8183801526694534,115.56602970362792,163.0,4.845010797278498,1853.795018186774,1.0
2025-03-25,133.0,3.0,0.0,0.0,3.0,133.0,0.022556390977443608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-26,87.0,0.0,0.0,0.0,0.0,87.0,0.0,133.63333333333333,719.1111744364182,3.673552,111.83921004905883,148.0,5.169728680538393,1475.1566571827916,1.0
2025-03-27,20.0,0.0,0.0,0.0,0.0,20.0,0.0,46.05,329.99243529610015,145.1817820360124,118.75210665001353,167.0,5.912993451918408,278.1975823198591,1.0
2025-03-28,98.0,1.0,0.0,0.0,1.0,98.0,0.01020408163265306,98.53333333333333,575.205546861646,119.35773362689967,109.3276034926338,150.0,3.58156098122197,882.7653511249612,1.0
2025-03-29,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-30,48.0,2.0,0.0,0.0,2.0,48.0,0.041666666666666664,96.98333333333333,632.5471155850926,0.2636360265839705,115.85080687555391,156.0,4.310993436760958,1035.9207038590416,1.0
2025-03-31,62.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01,31.0,0.0,0.0,0.0,0.0,31.0,0.0,96.46666666666667,701.4222443099158,3.983168,118.49453025948358,166.0,5.214617581293509,1402.9659949679346,1.0
2025-04-02,37.0,0.0,0.0,0.0,0.0,37.0,0.0,103.86666666666666,571.4419999999917,1.0329776543073372,108.19861864923436,156.0,3.255330101875503,1051.4399308992524,1.0
2025-04-03,13.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-04,17.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-05,27.0,1.0,0.0,0.0,1.0,27.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-06,53.0,2.0,0.0,0.0,2.0,53.0,0.03773584905660377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-07,58.0,1.0,0.0,0.0,1.0,58.0,0.017241379310344827,103.55,705.1002100503313,3.298886095431156,116.91006012278037,162.0,4.82404991010242,1404.2014671323673,1.0
2025-04-08,122.0,1.0,0.0,0.0,1.0,122.0,0.00819672131147541,100.25,596.5193540497846,3.677736,112.73764239680806,150.0,3.6910712191416977,1085.0802586756815,1.0
2025-04-09,66.0,0.0,0.0,0.0,0.0,66.0,0.0,86.88333333333334,540.5639637054038,1.1105978045673175,113.56552259845571,153.0,4.233097578909211,1831.522444399732,1.0
2025-04-10,47.0,1.0,0.0,0.0,1.0,47.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-11,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-12,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-13,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-14,71.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-15,47.0,1.0,0.0,0.0,1.0,47.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-16,75.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-17,41.0,1.0,0.0,0.0,1.0,41.0,0.024390243902439025,62.333333333333336,251.5911879900895,0.0,99.66408940918691,111.0,4.274398400922668,5679.983566384141,1.0
2025-04-18,16.0,0.0,0.0,0.0,0.0,16.0,0.0,89.45,163.9311109290009,4.284787063557715,89.74288134431747,124.0,2.1135488854989637,2638.868205212797,1.0
2025-04-19,46.0,1.0,0.0,0.0,1.0,46.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-20,19.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-21,37.0,1.0,0.0,0.0,1.0,37.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-22,72.0,2.0,0.0,0.0,2.0,72.0,0.027777777777777776,108.4,667.6209294483584,3.677736,110.85158757338284,161.0,4.0321649346394715,1265.5025732737186,1.0
2025-04-23,27.0,0.0,0.0,0.0,0.0,27.0,0.0,132.93333333333334,913.2357238394418,7.5757617334481155,119.14704597979944,154.00000000000003,8.437444522239351,1738.634035881464,1.0
2025-04-24,52.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-25,5.0,1.0,0.0,0.0,1.0,5.0,0.2,30.966666666666665,177.48900000000128,0.4128119470405686,105.28290049416964,152.0,3.55877682815982,284.4704490037135,1.0
2025-04-26,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-27,61.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-28,60.0,2.0,0.0,0.0,2.0,60.0,0.03333333333333333,20.866666666666667,66.5876164084665,0.916296,93.95013515500897,108.0,3.2894761213640864,837.2087509630624,1.0
2025-04-29,111.0,0.0,0.0,0.0,0.0,111.0,0.0,86.36666666666666,609.5480000000019,605.3202000000009,116.4837574342936,157.0,4.831528372939319,1084.7733461005623,1.0
2025-04-30,44.0,1.0,0.0,0.0,1.0,44.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-01,76.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-02,21.0,1.0,0.0,0.0,1.0,21.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-03,108.0,1.0,0.0,0.0,1.0,108.0,0.009259259259259259,163.06666666666666,777.1913215293636,472.4841985541604,96.69539212982475,144.0,2.6692665283673933,2835.171658238099,1.0
2025-05-04,38.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-05,31.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-06,46.0,0.0,0.0,0.0,0.0,46.0,0.0,79.98333333333333,547.2011661471881,0.2910441610967765,116.62481137158824,150.0,4.764422053027251,1036.495923231264,1.0
2025-05-07,54.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-08,129.0,1.0,0.0,0.0,1.0,129.0,0.007751937984496124,94.26666666666667,612.1333614542739,4.831095970583008,114.71408479237978,157.0,4.292416730879235,1170.3643857553056,1.0
2025-05-09,19.0,1.0,0.0,0.0,1.0,19.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-10,70.0,0.0,0.0,0.0,0.0,70.0,0.0,96.75,671.2007193864179,2.226394650829062,116.44301802647112,161.0,4.98773475168895,1840.0000000000005,1.0
2025-05-11,34.0,1.0,0.0,0.0,1.0,34.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-12,58.0,0.0,0.0,0.0,0.0,58.0,0.0,97.8,505.49599689652086,1.818406299296479,105.84921651274624,149.0,3.204514021433185,2141.8055334979144,1.0
2025-05-13,27.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-14,106.0,1.0,0.0,0.0,1.0,106.0,0.009433962264150943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-15,168.0,2.0,0.0,0.0,2.0,168.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-16,239.0,2.0,0.0,0.0,2.0,239.0,0.008368200836820083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-17,34.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-18,66.0,1.0,0.0,0.0,1.0,66.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
